m;celda;values
0;58;0.001
1;59;0.003
2;60;0.002
3;61;0.001
4;99;0.001
5;100;0.004
6;101;0.004
7;102;0.005
8;103;0.004
9;104;0.002
10;141;0.002
11;142;0.004
12;143;0.003
13;144;0.008
14;145;0.005
15;146;0.004
16;181;0.001
17;182;0.001
18;183;0.003
19;184;0.005
20;185;0.004
21;186;0.005
22;187;0.005
23;188;0.003
24;189;0.0
25;222;0.002
26;223;0.002
27;224;0.004
28;225;0.003
29;226;0.003
30;227;0.005
31;228;0.005
32;229;0.005
33;230;0.005
34;231;0.003
35;234;0.0
36;236;0.0
37;261;0.001
38;262;0.001
39;263;0.001
40;264;0.004
41;265;0.003
42;266;0.004
43;267;0.003
44;268;0.003
45;269;0.005
46;270;0.006
47;271;0.007
48;272;0.006
49;273;0.003
50;275;0.0
51;276;0.001
52;277;0.0
53;278;0.002
54;302;0.0
55;303;0.002
56;304;0.002
57;305;0.001
58;306;0.004
59;307;0.004
60;308;0.004
61;309;0.003
62;310;0.002
63;311;0.004
64;312;0.004
65;313;0.01
66;314;0.005
67;315;0.003
68;316;0.001
69;317;0.002
70;318;0.001
71;319;0.002
72;320;0.001
73;341;0.002
74;344;0.002
75;345;0.004
76;346;0.005
77;347;0.005
78;348;0.005
79;349;0.001
80;350;0.003
81;351;0.003
82;352;0.004
83;353;0.003
84;354;0.004
85;355;0.003
86;356;0.003
87;357;0.002
88;359;0.004
89;360;0.005
90;361;0.004
91;362;0.001
92;364;0.001
93;386;0.003
94;387;0.005
95;388;0.005
96;389;0.005
97;390;0.004
98;391;0.005
99;392;0.004
100;393;0.005
101;394;0.004
102;395;0.004
103;396;0.002
104;397;0.003
105;398;0.003
106;399;0.005
107;400;0.001
108;401;0.002
109;402;0.006
110;403;0.001
111;404;0.0
112;405;0.001
113;406;0.005
114;407;0.0
115;421;0.0
116;428;0.0
117;429;0.0
118;431;0.003
119;432;0.004
120;433;0.004
121;434;0.002
122;435;0.004
123;436;0.004
124;437;0.004
125;438;0.004
126;439;0.002
127;440;0.002
128;441;0.002
129;442;0.001
130;443;0.002
131;444;0.001
132;445;0.002
133;446;0.002
134;447;0.005
135;448;0.004
136;449;0.002
137;451;0.003
138;452;0.0
139;463;0.0
140;464;0.0
141;465;0.001
142;466;0.002
143;467;0.004
144;468;0.003
145;469;0.002
146;470;0.001
147;471;0.002
148;472;0.002
149;473;0.004
150;474;0.004
151;475;0.005
152;476;0.003
153;477;0.003
154;478;0.003
155;479;0.003
156;480;0.004
157;481;0.004
158;482;0.001
159;483;0.001
160;484;0.001
161;485;0.002
162;486;0.002
163;487;0.001
164;488;0.006
165;489;0.005
166;490;0.004
167;491;0.002
168;492;0.001
169;493;0.003
170;494;0.006
171;495;0.0
172;506;0.0
173;507;0.001
174;508;0.003
175;509;0.005
176;510;0.002
177;511;0.0
178;512;0.002
179;513;0.004
180;514;0.005
181;515;0.005
182;516;0.004
183;517;0.004
184;518;0.004
185;519;0.003
186;520;0.003
187;521;0.006
188;522;0.003
189;523;0.002
190;524;0.001
191;525;0.002
192;526;0.003
193;527;0.003
194;528;0.003
195;529;0.003
196;530;0.003
197;531;0.003
198;532;0.004
199;533;0.001
200;534;0.002
201;535;0.005
202;536;0.004
203;537;0.002
204;549;0.003
205;550;0.004
206;551;0.002
207;552;0.0
208;555;0.003
209;556;0.003
210;557;0.004
211;558;0.005
212;559;0.005
213;560;0.005
214;561;0.004
215;562;0.005
216;563;0.002
217;564;0.002
218;565;0.001
219;566;0.002
220;567;0.003
221;568;0.001
222;569;0.003
223;570;0.003
224;571;0.005
225;572;0.004
226;573;0.005
227;574;0.004
228;575;0.001
229;576;0.005
230;577;0.005
231;578;0.004
232;579;0.003
233;591;0.0
234;592;0.001
235;593;0.001
236;594;0.002
237;595;0.001
238;596;0.002
239;597;0.004
240;598;0.004
241;599;0.004
242;600;0.006
243;601;0.004
244;602;0.006
245;603;0.004
246;604;0.007
247;605;0.004
248;606;0.002
249;607;0.003
250;608;0.001
251;609;0.001
252;610;0.0
253;611;0.002
254;612;0.004
255;613;0.004
256;614;0.003
257;615;0.003
258;616;0.003
259;617;0.005
260;618;0.005
261;619;0.005
262;620;0.004
263;621;0.002
264;634;0.001
265;635;0.0
266;636;0.001
267;637;0.0
268;638;0.002
269;639;0.004
270;640;0.003
271;641;0.004
272;642;0.003
273;643;0.003
274;644;0.005
275;645;0.004
276;646;0.004
277;647;0.003
278;648;0.003
279;649;0.002
280;650;0.003
281;651;0.002
282;652;0.0
283;653;0.002
284;654;0.004
285;655;0.004
286;656;0.003
287;657;0.001
288;658;0.0
289;659;0.003
290;660;0.003
291;661;0.004
292;662;0.002
293;663;0.007
294;681;0.0
295;683;0.001
296;684;0.002
297;685;0.002
298;686;0.004
299;687;0.005
300;688;0.009
301;689;0.006
302;690;0.004
303;691;0.004
304;692;0.005
305;693;0.003
306;694;0.003
307;695;0.005
308;696;0.003
309;697;0.003
310;698;0.002
311;699;0.001
312;700;0.002
313;701;0.001
314;702;0.0
315;703;0.001
316;704;0.0
317;705;0.001
318;725;0.002
319;726;0.0
320;727;0.001
321;728;0.002
322;729;0.002
323;730;0.004
324;731;0.004
325;732;0.004
326;733;0.006
327;734;0.007
328;735;0.006
329;736;0.004
330;737;0.003
331;738;0.002
332;739;0.003
333;740;0.002
334;741;0.001
335;742;0.002
336;743;0.003
337;744;0.002
338;745;0.002
339;746;0.002
340;747;0.001
341;748;0.0
342;773;0.0
343;774;0.001
344;775;0.002
345;776;0.003
346;777;0.003
347;778;0.004
348;779;0.006
349;780;0.003
350;781;0.004
351;782;0.003
352;783;0.003
353;784;0.004
354;785;0.003
355;786;0.002
356;787;0.002
357;788;0.003
358;789;0.001
359;790;0.0
360;818;0.0
361;819;0.002
362;820;0.001
363;821;0.002
364;822;0.004
365;823;0.003
366;824;0.003
367;825;0.002
368;826;0.001
369;827;0.004
370;828;0.004
371;829;0.002
372;830;0.004
373;831;0.003
374;832;0.002
375;863;0.0
376;864;0.001
377;865;0.001
378;866;0.002
379;867;0.002
380;868;0.0
381;869;0.003
382;870;0.002
383;871;0.003
384;872;0.002
385;873;0.003
386;874;0.002
387;875;0.001
388;876;0.0
389;877;0.0
390;878;0.0
391;879;0.0
392;907;0.0
393;908;0.003
394;909;0.002
395;910;0.002
396;911;0.003
397;912;0.003
398;913;0.007
399;914;0.001
400;915;0.003
401;916;0.003
402;922;0.0
403;947;0.001
404;949;0.0
405;951;0.0
406;953;0.0
407;954;0.002
408;955;0.003
409;956;0.001
410;957;0.002
411;958;0.001
412;989;0.0
413;996;0.0
414;997;0.0
